AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
0.43489763,0.43810016,0.3792922,0.46289933,0.28234923,0.0,0.5795812,0.76093847,1.0,0.48214427,0.3534625,0.3067325,0.39833966,1.0,0.5231634,0.23326747,0.9208435,0.18064566,0.047501855,0.32698476
0.2537359,0.20825487,0.38255626,0.32333335,0.1562566,0.0,0.28380653,0.04893878,0.0,0.20169197,0.6108188,0.09803348,0.4372478,0.0,0.5828395,0.6179154,0.31637973,0.09416994,0.055715147,0.16898209
0.29334602,0.18221894,0.48205698,0.30347833,0.5615995,1.0,0.43954033,0.41391703,1.0,0.38288516,0.5396232,0.29616958,0.44611788,1.0,0.46411338,0.0489328,0.9995357,0.7412316,0.10375231,0.40217468
0.40331623,0.22142915,0.52278733,0.32189035,0.1967016,0.0,0.5128676,0.037346024,0.0,0.08419077,0.2714348,0.12202251,0.37575513,1.0,0.770209,0.320333,0.9151524,0.40407443,0.119278505,0.4048141
0.34255305,0.1839601,0.92304176,0.25662494,0.7663287,0.0,0.6707269,0.15636788,1.0,0.7506735,0.60650367,0.16293484,0.41371918,1.0,0.27741927,0.5310434,0.98630005,0.054359548,0.08282257,0.56026965
0.3614827,0.33395207,0.8318757,0.25917357,0.16111799,0.0,0.41158757,0.13860694,0.0,0.107628606,0.22839071,0.14176466,0.34516272,0.0,0.64325386,0.3159816,0.21448715,0.24012817,0.5838581,0.21251483
0.34709078,0.12573898,0.60875684,0.3126872,0.25192472,0.0,0.45702386,0.084568895,1.0,0.14357582,0.35861546,0.08208257,0.31225342,1.0,0.39706868,0.36989743,0.13972045,0.12297577,0.13144317,0.17822136
0.4526049,0.29790813,0.78293294,0.29604495,0.23838338,0.0,0.4935833,0.16184346,1.0,0.23926118,0.2231262,0.4171836,0.37376112,0.0,0.40736982,0.17471719,0.88214695,0.1581714,0.08126032,0.5515855
0.4330635,0.22970067,0.20768867,0.36770147,0.12117434,1.0,0.27230686,0.9859358,0.0,0.21935056,0.35701424,0.3001816,0.3083599,0.0,0.67464733,0.22805397,0.7457717,0.4228887,0.21943976,0.2603857
0.28737926,0.13931692,0.85819054,0.25356522,0.38773406,1.0,0.6859502,0.85522234,0.0,0.13152634,0.27098566,0.15020987,0.27000153,1.0,0.28102615,0.007417998,0.99984217,0.78823763,0.022568407,0.8401447
0.3327736,0.26043326,0.62774736,0.28350145,0.26407266,0.0,0.35569516,0.3120419,0.0,0.11634872,0.44265753,0.056012515,0.3241573,0.0,0.18065271,0.34004202,0.20482637,0.1255602,0.22234361,0.2550958
0.46025127,0.34009016,0.43099347,0.55565,0.07959005,0.0,0.23189563,0.10573404,1.0,0.042362113,0.513373,0.7584288,0.38594636,0.0,0.66140157,0.30834714,0.9854683,0.36446363,0.049103785,0.30599898
0.33143693,0.17216623,0.5395167,0.43366385,0.15212215,0.0,0.24232404,0.032678176,1.0,0.20467336,0.56416357,0.71944773,0.42699766,0.0,0.675131,0.5730424,0.8061191,0.43963304,0.033674136,0.074976124
